name1		0:17:27	0:18:30
name2		0:17:35	0:18:39
name3		0:17:59	0:19:10
name4		0:17:59	0:21:00
name5		0:18:04	0:19:30
name6		0:18:04	0:19:30
name7		0:18:27	0:20:00
name8		0:18:37	0:19:45
name9		0:19:07	0:20:30
name10		0:19:24	0:21:00
name11		0:19:52	0:22:30
name12		0:19:54	0:22:30
name13		0:19:55	0:22:00
name14		0:20:36	0:22:30
name15		0:20:39	0:22:00
name16		0:21:10	0:24:00
name17		0:21:11	0:22:30
name18		0:21:11	0:24:30
name19		0:21:52	0:22:00
name20		0:21:53	0:24:00
name21		0:22:21	0:24:30
name22		0:22:38	0:24:00
name23		0:22:49	0:25:30
name24		0:24:50	0:27:00
